1666117862,2022-10-19 00:01:02,446.00,Groceries,1,""
1666117872,2022-10-19 00:01:12,268.00,Groceries,1,""
1666185746,2022-10-19 18:52:26,100.00,Others,9,""
1666185754,2022-10-19 18:52:34,275.00,Groceries,1,""
1666207892,2022-10-20 01:01:32,353.00,Others,9,""
1666349616,2022-10-21 16:23:36,159.73,Groceries,1,""
1666349625,2022-10-21 16:23:45,404.00,Food,0,""
1666364656,2022-10-21 20:34:16,95.00,Groceries,1,""
1666459749,2022-10-22 22:59:09,221.00,Groceries,1,""
1666459757,2022-10-22 22:59:17,278.00,Groceries,1,""
1666459766,2022-10-22 22:59:26,441.00,Others,9,""
1666460307,2022-10-22 23:08:27,143.60,Groceries,1,""
1666461140,2022-10-22 23:22:20,436.00,Groceries,1,""
1666552829,2022-10-24 00:50:29,194.00,Groceries,1,""
1666552840,2022-10-24 00:50:40,118.00,Groceries,1,""
1666615597,2022-10-24 18:16:37,346.00,Groceries,1,""
1666615766,2022-10-24 18:19:26,110.88,Groceries,1,""
1666625147,2022-10-24 20:55:47,277.00,Food,0,""
1666683874,2022-10-25 13:14:34,165.00,Others,9,""
